Designator,Mid X,Mid Y,Rotation,Layer
_34,101.1496,-82.898401,180.0,top
_33,98.8504,-82.898401,0.0,top
_32,115.5664,-103.6,180.0,top
_31,113.5664,-103.6,180.0,top
_30,114.566401,-103.6,180.0,top
_29,84.4336,-103.6,0.0,top
_28,86.4336,-103.6,0.0,top
_27,85.4336,-103.6,0.0,top
_26,115.566401,-82.898401,180.0,top
_25,114.566401,-82.898401,180.0,top
_24,113.5664,-82.898401,180.0,top
_23,84.4336,-82.898401,0.0,top
_22,85.4336,-82.898401,0.0,top
_21,86.4336,-82.898401,0.0,top
_20,111.5664,-103.6,0.0,top
_19,87.4336,-103.6,0.0,top
_18,88.4336,-103.6,0.0,top
_17,110.5664,-103.6,0.0,top
_16,112.5664,-103.6,0.0,top
_15,89.4336,-103.6,0.0,top
_14,110.5664,-82.898401,0.0,top
_13,111.5664,-82.898401,0.0,top
_12,112.5664,-82.898401,0.0,top
_11,88.4336,-82.898401,0.0,top
_10,87.4336,-82.898401,0.0,top
_9,89.4336,-82.898401,0.0,top
_8,96.8504,-82.898401,180.0,top
_7,102.1496,-82.898401,180.0,top
_6,97.8504,-82.898401,180.0,top
_5,103.1496,-82.898401,180.0,top
_4,104.7,-103.6,0.0,top
_3,103.7,-103.6,0.0,top
_2,96.3,-103.6,0.0,top
,95.3,-103.6,0.0,top
C12,94.1,-98.373125,270.0,top
C4,95.75,-94.37,180.0,top
C5,105.8,-96.6975,270.0,top
C6,104.3,-102.5,0.0,top
C7,94.1,-100.3575,90.0,top
C8,105.953125,-88.848125,90.0,top
C9,94.1,-92.023125,270.0,top
D2,94.1,-90.03875,90.0,top
F1,94.1,-88.054375,90.0,top
J1,100.0,-84.8,180.0,top
LED1,102.4,-92.67,270.0,top
R1,105.9,-100.57,90.0,top
R4,105.953125,-86.07,90.0,top
R5,94.1,-86.07,90.0,top
SW1,104.9,-92.816875,90.0,top
U1,100.0,-98.77,90.0,top
U4,96.428125,-91.785,90.0,top
U5,100.0,-91.785,90.0,top
